step,elapsed_min,loss,accuracy,n_latent,n_step,target_len
0,0.0,8.1528,0.396,7,1,3.0
100,0.23,0.8207,0.4242,5,2,3.5
200,0.54,0.0146,0.5014,4,2,4.0
300,0.8,0.0067,0.5729,8,2,4.5
400,1.07,0.0051,0.6443,8,1,5.0
500,1.32,0.0033,0.7157,7,1,5.5
600,1.53,0.0035,0.7871,7,2,6.0
700,1.77,0.0052,0.8586,7,3,6.5
800,1.99,0.0038,0.93,8,1,7.0
900,2.23,0.0028,1.0,4,3,7.0
1000,2.46,0.0021,1.0,4,2,7.0
1100,2.67,0.0021,1.0,6,3,7.0
1200,2.91,0.0019,1.0,7,3,7.0
1300,3.14,0.0005,1.0,8,1,7.0
1400,3.35,0.0002,1.0,5,3,7.0
1500,3.59,0.0008,1.0,7,2,7.0
1600,3.82,0.0004,1.0,4,1,7.0
1700,4.07,0.001,1.0,5,1,7.0
1800,4.34,0.001,1.0,4,1,7.0
1900,4.62,0.0011,1.0,4,3,7.0
2000,4.9,0.0007,1.0,4,2,7.0
2100,5.15,0.0001,1.0,7,2,7.0
2200,5.41,0.0,1.0,4,2,7.0
2300,5.65,0.0,1.0,4,1,7.0
2400,5.93,0.0,1.0,8,2,7.0
2500,6.21,0.0,1.0,6,1,7.0
2600,6.46,0.0,1.0,8,1,7.0
2700,6.68,0.0,1.0,5,1,7.0
2800,6.88,0.0,1.0,8,2,7.0
2900,7.11,0.0,1.0,6,2,7.0
3000,7.32,0.0,1.0,4,2,7.0
3100,7.54,0.0,1.0,8,1,7.0
3200,7.75,0.0,1.0,6,1,7.0
3300,7.98,0.0,1.0,5,1,7.0
3400,8.2,0.0,1.0,7,1,7.0
3500,8.42,0.0,1.0,5,2,7.0
3600,8.64,0.0,1.0,7,1,7.0
3700,8.86,0.0,1.0,5,1,7.0
3800,9.07,0.0,1.0,7,1,7.0
3900,9.3,0.0,1.0,4,2,7.0
4000,9.51,0.0,1.0,7,3,7.0
4100,9.73,0.0,1.0,6,1,7.0
4200,9.95,0.0,1.0,5,1,7.0
4300,10.18,0.0,1.0,8,1,7.0
4400,10.4,0.0,1.0,7,2,7.0
4500,10.66,0.0,1.0,7,1,7.0
4600,10.91,0.0,1.0,6,1,7.0
4700,11.17,0.0,1.0,8,1,7.0
4800,11.43,0.0,1.0,5,1,7.0
4900,11.66,0.0,1.0,5,3,7.0
5000,11.92,0.0,1.0,8,3,7.0
5100,12.22,0.0,1.0,7,3,7.0
5200,12.48,0.0,1.0,4,1,7.0
5300,12.71,0.0,1.0,6,1,7.0
5400,12.94,0.0,1.0,6,3,7.0
5500,13.18,0.0,1.0,7,2,7.0
5600,13.4,0.0,1.0,7,2,7.0
5700,13.62,0.0,1.0,7,1,7.0
5800,13.84,0.0,1.0,6,3,7.0
5900,14.08,0.0,1.0,8,1,7.0
6000,14.31,0.0,1.0,7,1,7.0
6100,14.51,0.0001,1.0,4,1,7.0
