step,loss,ce,kd
1,5.8948,11.3804,0.4093
5,5.4117,10.4238,0.3995
10,5.2569,10.1058,0.4081
15,5.0815,9.7652,0.3977
20,4.9485,9.5030,0.3939
25,4.8220,9.2590,0.3849
30,4.6558,8.9361,0.3754
35,4.4968,8.6335,0.3602
40,4.3912,8.4328,0.3496
45,4.1699,8.0131,0.3267
50,4.0455,7.7692,0.3217
55,3.9331,7.5702,0.2960
60,3.7430,7.2092,0.2767
65,3.4785,6.6820,0.2749
70,3.2800,6.3041,0.2560
75,3.1125,5.9786,0.2463
80,2.9359,5.6345,0.2372
85,2.8484,5.4586,0.2383
90,2.5880,4.9259,0.2502
95,2.4261,4.6108,0.2415
100,2.3378,4.4335,0.2421
105,2.1076,3.9664,0.2489
110,1.9570,3.6613,0.2526
115,1.9113,3.5668,0.2557
120,1.7454,3.2401,0.2506
125,1.6082,2.9532,0.2633
130,1.3990,2.5345,0.2634
135,1.6600,3.0469,0.2730
140,1.4071,2.5416,0.2725
145,1.3270,2.3792,0.2747
150,1.2897,2.2924,0.2869
155,1.1845,2.0861,0.2830
160,1.1073,1.9259,0.2887
165,1.1670,2.0484,0.2857
170,0.9392,1.5925,0.2859
175,1.1274,1.9626,0.2921
180,1.0445,1.7998,0.2892
185,0.9099,1.5254,0.2944
190,0.9759,1.6658,0.2860
195,0.9311,1.5720,0.2902
200,1.0536,1.8153,0.2918
