step,loss,ce,kd
1,6.3294,12.2498,0.4089
5,6.2687,12.1408,0.3967
10,6.1247,11.8727,0.3767
15,5.8814,11.3992,0.3636
20,5.5328,10.7451,0.3206
25,5.0174,9.7333,0.3016
30,4.5746,8.8824,0.2667
35,4.2133,8.1724,0.2541
40,3.5576,6.8587,0.2565
45,3.4935,6.7279,0.2591
50,3.0208,5.7693,0.2723
55,3.0000,5.6998,0.3003
60,2.4379,4.5598,0.3160
65,2.0289,3.7472,0.3105
70,2.0824,3.8514,0.3134
75,2.1092,3.9084,0.3099
80,1.9834,3.6536,0.3132
85,2.4029,4.4912,0.3146
90,1.3430,2.3653,0.3206
95,1.6049,2.9080,0.3019
100,1.5904,2.8693,0.3115
105,1.6258,2.9503,0.3012
110,1.4344,2.5641,0.3047
115,1.0481,1.7646,0.3315
120,1.0459,1.7857,0.3060
125,1.3175,2.3385,0.2965
130,1.1056,1.9143,0.2970
135,0.7722,1.2403,0.3042
140,0.8607,1.4161,0.3053
145,0.9588,1.6161,0.3016
150,0.7424,1.1783,0.3065
155,0.8361,1.3799,0.2922
160,1.0904,1.8884,0.2924
165,0.8272,1.3534,0.3011
170,0.6254,0.9547,0.2962
175,0.8703,1.4482,0.2924
180,0.7427,1.1897,0.2956
185,0.7712,1.2482,0.2943
190,0.9430,1.5949,0.2910
195,0.9228,1.5512,0.2945
200,0.7023,1.1221,0.2824
